,0
0,30.3
1,37.9
2,44.8
3,51.4
4,57.8
5,62.9
6,65.1
7,64.1
8,61.7
9,60.1
10,62.2
11,65.7
12,61.8
13,51.1
14,37.7
15,28.8
16,25.4
17,23.1
18,23.4
19,21.0
20,17.1
21,15.4
22,16.8
23,22.5
24,33.6
25,39.5
26,45.9
27,54.2
28,64.5
29,75.0
30,83.7
31,86.3
32,88.2
33,91.7
34,91.9
35,89.0
36,84.5
37,77.1
38,61.3
39,44.8
40,36.5
41,30.2
42,26.4
43,25.6
44,22.2
45,20.1
46,22.9
47,30.3
48,35.0
49,39.5
50,50.7
51,66.3
52,83.8
53,102.1
54,114.6
55,115.8
56,114.8
57,114.8
58,104.8
59,98.8
60,97.8
61,85.9
62,70.1
63,56.1
64,45.9
65,34.9
66,29.2
67,26.7
68,19.8
69,16.2
70,18.1
71,25.5
72,35.2
73,42.2
74,48.5
75,56.9
76,65.0
77,72.3
78,79.1
79,81.4
80,80.2
81,81.8
82,82.9
83,84.2
84,84.5
85,77.0
86,65.9
87,54.4
88,43.4
89,32.7
90,26.7
91,24.3
92,19.8
93,17.7
94,20.4
95,28.4
96,39.3
97,48.7
98,57.9
99,67.8
100,76.7
101,84.9
102,90.4
103,89.9
104,87.8
105,89.0
106,90.9
107,90.5
108,86.4
109,75.9
110,64.3
111,53.3
112,44.3
113,35.4
114,31.0
115,31.1
116,25.1
117,21.0
118,23.0
119,30.0
120,39.3
121,49.6
122,60.1
123,68.7
124,76.3
125,81.0
126,81.3
127,78.2
128,74.9
129,75.8
130,78.8
131,78.1
132,76.2
133,70.2
134,58.9
135,48.4
136,39.6
137,32.7
138,30.2
139,29.3
140,24.8
141,21.0
142,22.2
143,29.4
144,38.2
145,43.8
146,48.2
147,52.3
148,56.2
149,57.9
150,59.2
151,60.5
152,60.1
153,61.6
154,67.6
155,70.8
156,67.9
157,58.3
158,47.2
159,39.3
160,34.1
161,29.5
162,26.4
163,26.0
164,21.5
165,17.7
166,19.2
167,27.3
168,36.8
169,44.9
170,56.0
171,66.9
172,73.4
173,75.5
174,75.5
175,73.0
176,67.8
177,66.9
178,70.1
179,68.5
180,68.0
181,60.8
182,48.2
183,42.6
184,35.8
185,29.1
186,27.5
187,26.7
188,21.4
189,18.5
190,20.9
191,26.8
192,35.2
193,45.4
194,59.3
195,73.9
196,85.7
197,92.4
198,89.3
199,82.9
200,80.3
201,78.7
202,79.4
203,81.9
204,81.7
205,72.9
206,57.6
207,46.3
208,38.2
209,30.2
210,27.1
211,25.9
212,21.2
213,18.3
214,19.6
215,26.1
216,36.5
217,47.3
218,59.4
219,71.9
220,83.2
221,89.2
222,89.8
223,88.1
224,87.7
225,86.0
226,80.8
227,74.9
228,73.0
229,66.3
230,53.4
231,46.9
232,41.6
233,37.0
234,33.9
235,28.4
236,21.2
237,15.9
238,16.5
239,23.6
240,33.6
241,42.8
242,53.7
243,65.2
244,76.0
245,84.7
246,87.2
247,83.2
248,78.5
249,75.4
250,72.3
251,69.9
252,67.7
253,56.6
254,43.1
255,37.1
256,32.0
257,26.3
258,20.9
259,16.2
260,13.4
261,13.2
262,16.0
263,24.8
264,36.2
265,44.3
266,51.2
267,63.8
268,82.7
269,96.4
270,99.0
271,93.9
272,87.6
273,80.2
274,73.3
275,70.1
276,60.3
277,48.5
278,40.4
279,33.3
280,27.4
281,22.2
282,20.5
283,19.1
284,16.8
285,16.1
286,18.5
287,25.6
288,34.0
289,40.8
290,48.7
291,59.8
292,69.5
293,75.4
294,79.1
295,79.8
296,77.6
297,75.1
298,72.6
299,67.9
300,61.8
301,54.2
302,40.5
303,30.4
304,27.0
305,23.7
306,21.8
307,20.4
308,19.4
309,17.6
310,17.8
311,24.0
312,32.9
313,41.8
314,51.2
315,63.9
316,77.6
317,83.0
318,85.7
319,88.4
320,86.9
321,85.1
322,84.1
323,79.0
324,70.6
325,60.1
326,47.9
327,40.2
328,34.4
329,29.5
330,27.9
331,27.7
332,25.1
333,19.3
334,16.8
335,20.3
336,27.4
337,36.1
338,43.9
339,50.8
340,56.6
341,60.8
342,63.6
343,64.3
344,64.8
345,64.7
346,61.4
347,55.8
348,51.3
349,48.7
350,39.9
351,31.2
352,28.4
353,25.0
354,21.8
355,18.8
356,16.5
357,14.9
358,15.7
359,21.8
360,30.3
361,37.9
362,44.8
363,51.4
364,57.8
365,62.9
366,65.1
367,64.1
368,61.7
369,60.1
370,62.2
371,65.7
372,61.8
373,51.1
374,37.7
375,28.8
376,25.4
377,23.1
378,23.4
379,21.0
380,17.1
381,15.4
382,16.8
383,22.5
